Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG10460	hsdS	specificity determinant for hsdM and hsdR	characterized	characterized	0.000008326	0.88	0.762	0.284	0.431	N	N	u	specificity determinant for hsdM and hsdR	Enzyme; DNA - replication, repair, restriction/modification	Specificity determinant for HsdM and HsdR	Restriction-modification system 	N/A
EG10573	mcrA	restriction of DNA at 5-methylcytosine residues	characterized	characterized	0.00000173	0.44	0.787	0.39	0.405	N	N	u	putative 5-methylcytosine/5-hydroxymethylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein	Putative enzyme; Phage or Prophage Related	Putative 5-methylcytosine-specific restriction nuclease; 5-methylcytosine DNA binding protein; e14 prophage gene	Restriction-modification system 	N/A
EG10574	mcrB	MrcB subunit of 5-methylcytosine restriction system	characterized	characterized	4.25481261664E-06	0.88	0.813	0.446	0.632	N	N	N	5-methylcytosine-specific restriction enzyme McrBC, subunit McrB	Enzyme; Degradation of DNA	McrBC restriction endonuclease, catalytic subunit; 5-methylcytosine-specific; requires GTP, inhibited by ATP	Restriction-modification system 	N/A
EG10575	mcrC	MrcC subunit of 5-methylcytosine restriction system	characterized	characterized	2.24619926795E-06	0.53	0.81	0.348	0.534	N	N	u	5-methylcytosine-specific restriction enzyme McrBC, subunit McrC	Enzyme; Degradation of DNA	McrBC restriction endonuclease, specificity subunit; 5-methylcytosine-specific; requires GTP, inhibited by ATP	Restriction-modification system 	N/A
EG10612	mrr	restriction of methylated adenine	characterized	characterized	4.57467196543E-06	0.78	0.774	0.489	0.808	N	N	N	methylated adenine and cytosine restriction protein	Enzyme; DNA - replication, repair, restriction/modification	Restriction of DNA with certain methylated adenine or cytosine residues	Restriction-modification system 	N/A
EG10215	deaD	DeaD	characterized	characterized	5.16636226811E-05	1.00	0.765	0.29	0.321	N	N	N	ATP-dependent RNA helicase	Enzyme; RNA synthesis, modification, DNA transcription	ATP-dependent RNA helicase, 50S ribosomal subunit biogenesis; translation factor W2; factor X; facilitates translation of mRNAs with 5' secondary structures; multicopy suppressor of rpsB(Ts) mutations	Ribosome assembly 	cellular response to cold
EG10865	rplB	50S ribosomal subunit protein L2	characterized	characterized	0.0010221272	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L2	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L2; binds Zn(II)	Ribosome assembly 	N/A
EG10866	rplC	50S ribosomal subunit protein L3	characterized	characterized	0.0015371373	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L3	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L3	Ribosome assembly 	N/A
EG10868	rplE	50S ribosomal subunit protein L5	characterized	characterized	0.0031256212	1.00	N.A.	N.A.	N.A.	N	E	u	50S ribosomal subunit protein L5	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L5; 5S rRNA-binding	Ribosome assembly 	N/A
EG10869	rplF	50S ribosomal subunit protein L6	characterized	characterized	0.0025165631	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L6	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L6; gentamicin sensitivity	Ribosome assembly 	N/A
EG10870	rplI	50S ribosomal subunit protein L9	characterized	characterized	0.000761795	1.00	0.779	0.53	0.948	N	E	N	50S ribosomal subunit protein L9	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L9	Ribosome assembly 	N/A
EG10872	rplK	50S ribosomal subunit protein L11	characterized	characterized	0.0016599344	1.00	0.709	0.454	0.469	X	E	u	50S ribosomal subunit protein L11	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L11; kasugamycin sensitivity	Ribosome assembly 	stringent response
EG10873	rplL	50S ribosomal subunit protein L12	characterized	characterized	0.0017103595	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L7/L12	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L7/L12	Ribosome assembly 	N/A
EG10874	rplM	50S ribosomal subunit protein L13	characterized	characterized	0.0013242674	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L13	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L13; binds Zn(II)	Ribosome assembly 	N/A
EG10875	rplN	50S ribosomal subunit protein L14	characterized	characterized	0.0018612735	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L14	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L14	Ribosome assembly 	N/A
EG10876	rplO	50S ribosomal subunit protein L15	characterized	characterized	0.0014393088	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L15	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L15	Ribosome assembly 	N/A
EG10877	rplP	50S ribosomal subunit protein L16	characterized	characterized	0.0011200584	1.00	N.A.	N.A.	N.A.	N	E	u	50S ribosomal subunit protein L16	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L16	Ribosome assembly 	N/A
EG10878	rplQ	50S ribosomal subunit protein L17	characterized	characterized	0.0011300589	1.00	N.A.	N.A.	N.A.	X	E	u	50S ribosomal subunit protein L17	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L17	Ribosome assembly 	N/A
EG10879	rplR	50S ribosomal subunit protein L18	characterized	characterized	0.0019947825	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L18	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L18; 5S rRNA-binding	Ribosome assembly 	N/A
EG10880	rplS	50S ribosomal subunit protein L19	characterized	characterized	0.000516344	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L19	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L19	Ribosome assembly 	N/A
EG10882	rplV	50S ribosomal subunit protein L22	characterized	characterized	0.0008836473	1.00	N.A.	N.A.	N.A.	N	E	u	50S ribosomal subunit protein L22	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L22; erythromycin sensitivity	Ribosome assembly 	N/A
EG10883	rplW	50S ribosomal subunit protein L23	characterized	characterized	0.0012884891	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L23	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L23	Ribosome assembly 	N/A
EG10884	rplX	50S ribosomal subunit protein L24	characterized	characterized	0.002481698	1.00	N.A.	N.A.	N.A.	E	E	u	50S ribosomal subunit protein L24	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L24	Ribosome assembly 	ribosomal large subunit assembly
EG10885	rplY	50S ribosomal subunit protein L25	characterized	characterized	0.000359488	1.00	0.38	0.264	0.257	E	E	u	50S ribosomal subunit protein L25	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L25; 5S rRNA-binding 	Ribosome assembly 	N/A
EG10886	rpmB	50S ribosomal subunit protein L28	characterized	characterized	0.0009753187	1.00	N.A.	N.A.	N.A.	?	E	u	50S ribosomal subunit protein L28	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L28	Ribosome assembly 	N/A
EG10887	rpmC	50S ribosomal subunit protein L29	characterized	characterized	0.0012531346	1.00	N.A.	N.A.	N.A.	?	E	u	50S ribosomal subunit protein L29	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L29	Ribosome assembly 	N/A
EG10888	rpmD	50S ribosomal subunit protein L30	characterized	characterized	0.0011026155	1.00	N.A.	N.A.	N.A.	?	E	u	50S ribosomal subunit protein L30	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L30	Ribosome assembly 	N/A
EG10889	rpmE	50S ribosomal subunit protein L31	characterized	characterized	0.0004565224	1.00	0.338	0.394	0.444	?	E	u	50S ribosomal subunit protein L31	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L31	Ribosome assembly 	N/A
EG10890	rpmF	50S ribosomal subunit protein L32	characterized	characterized	0.000835153	1.00	0.421	0.326	0.334	?	E	u	50S ribosomal subunit protein L32	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L32	Ribosome assembly 	N/A
EG10891	rpmG	50S ribosomal subunit protein L33	characterized	characterized	0.0012720213	1.00	0.727	0.217	0.134	?	E	u	50S ribosomal subunit protein L33	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L33	Ribosome assembly 	N/A
EG10892	rpmH	50S ribosomal subunit protein L34	characterized	characterized	0.0007295732	1.00	N.A.	N.A.	N.A.	?	E	u	50S ribosomal subunit protein L34	Structural component; Ribosomal proteins - synthesis, modification	50S ribosomal subunit protein L34	Ribosome assembly 	N/A
EG10901	rpsB	30S ribosomal subunit protein S2	characterized	characterized	0.0008333526	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S2	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S2; binds Zn(II)	Ribosome assembly 	N/A
EG10902	rpsC	30S ribosomal subunit protein S3	characterized	characterized	0.0007183631	1.00	N.A.	N.A.	N.A.	N	E	u	30S ribosomal subunit protein S3	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S3	Ribosome assembly 	N/A
EG10903	rpsD	30S ribosomal subunit protein S4	characterized	characterized	0.0012914959	1.00	N.A.	N.A.	N.A.	X	E	u	30S ribosomal subunit protein S4	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S4; NusA-like antitermination factor	Ribosome assembly 	negative regulation of translational initiation
EG10904	rpsE	30S ribosomal subunit protein S5	characterized	characterized	0.0020088166	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S5	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S5	Ribosome assembly 	N/A
EG10905	rpsF	30S ribosomal subunit protein S6	characterized	characterized	0.0006344582	1.00	0.574	0.41	0.477	E	E	u	30S ribosomal subunit protein S6	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S6; suppressor of dnaG-Ts	Ribosome assembly 	N/A
EG10906	rpsG	30S ribosomal subunit protein S7	characterized	characterized	0.0008609973	1.00	N.A.	N.A.	N.A.	N	E	u	30S ribosomal subunit protein S7	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S7, mutated stop codon	Ribosome assembly 	ribosomal small subunit assembly
EG10908	rpsI	30S ribosomal subunit protein S9	characterized	characterized	0.0011749024	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S9	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S9	Ribosome assembly 	N/A
EG10910	rpsK	30S ribosomal subunit protein S11	characterized	characterized	0.0012573144	1.00	N.A.	N.A.	N.A.	X	E	u	30S ribosomal subunit protein S11	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S11	Ribosome assembly 	N/A
EG10911	rpsL	30S ribosomal subunit protein S12	characterized	characterized	0.0007664522	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S12	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S12; RNA chaperone	Ribosome assembly 	Group I intron splicing
EG10912	rpsM	30S ribosomal subunit protein S13	characterized	characterized	0.0015565375	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S13	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S13	Ribosome assembly 	N/A
EG10913	rpsN	30S ribosomal subunit protein S14	characterized	characterized	0.002313848	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S14	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S14	Ribosome assembly 	N/A
EG10915	rpsP	30S ribosomal subunit protein S16	characterized	characterized	0.0005506301	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S16	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S16; endonuclease	Ribosome assembly 	ribosomal small subunit assembly
EG10916	rpsQ	30S ribosomal subunit protein S17	characterized	characterized	0.0015820825	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S17	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S17	Ribosome assembly 	N/A
EG10917	rpsR	30S ribosomal subunit protein S18	characterized	characterized	0.0006587269	1.00	N.A.	N.A.	N.A.	?	E	u	30S ribosomal subunit protein S18	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S18	Ribosome assembly 	N/A
EG10918	rpsS	30S ribosomal subunit protein S19	characterized	characterized	0.0011706421	1.00	N.A.	N.A.	N.A.	E	E	u	30S ribosomal subunit protein S19	Structural component; Ribosomal proteins - synthesis, modification	30S ribosomal subunit protein S19	Ribosome assembly 	N/A
